 [15:35:01]  Set Debug : True.
 [16:35:27]  INP: S 3, D 8, Dp 31, Sp 32, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [16:35:37]  INP: S 3, D 8, Dp 31, Sp 51, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [16:35:57]  INP: S 3, D 8, Dp 31, Sp 53, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [16:35:58]  OUT: S 8, D 5, Dp 1, Sp 32, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [16:36:02]  OUT: S 8, D 5, Dp 1, Sp 54, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [16:36:02]  INP: S 5, D 8, Dp 54, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [16:36:03]  OUT: S 8, D 5, Dp 1, Sp 51, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [16:36:04]  INP: S 5, D 8, Dp 51, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [16:36:04]  OUT: S 8, D 5, Dp 9, Sp 52, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:05]  INP: S 5, D 8, Dp 52, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [16:36:05]  OUT: S 8, D 5, Dp 9, Sp 39, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:06]  INP: S 5, D 8, Dp 39, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [16:36:07]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:08]  OUT: S 8, D 5, Dp 9, Sp 47, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:09]  OUT: S 8, D 5, Dp 9, Sp 35, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:11]  OUT: S 8, D 5, Dp 9, Sp 54, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:12]  OUT: S 8, D 5, Dp 9, Sp 43, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:13]  OUT: S 8, D 5, Dp 9, Sp 63, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:15]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:16]  OUT: S 8, D 5, Dp 9, Sp 39, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:16]  INP: S 5, D 8, Dp 39, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [16:36:17]  INP: S 3, D 8, Dp 31, Sp 59, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [16:36:17]  OUT: S 8, D 5, Dp 9, Sp 59, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [16:36:18]  INP: S 5, D 8, Dp 59, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [16:36:47]  INP: S 3, D 8, Dp 31, Sp 45, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [16:36:48]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:36:51]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:36:52]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:36:54]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:36:57]  OUT: S 8, D 3, Dp 13, Sp 34, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:36:57]  INP: S 3, D 8, Dp 31, Sp 32, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [00:12:59]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:00]  OUT: S 8, D 3, Dp 13, Sp 32, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:02]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:02]  INP: S 3, D 8, Dp 49, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:04]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:05]  INP: S 3, D 8, Dp 37, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:07]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:37:14]  FTP: Start FTP Downlink. (info)
 [16:37:14]  FTP: Create Connection.
 [16:37:14]  RDP 0x562f0ce4ee50: Active connect, conn state 0
 [16:37:14]  RDP 0x562f0ce4ee50: AC: Sending SYN
 [16:37:14]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 1, Fl 0x03, Sz 29 VIA: KISS
 [16:37:14]  RDP 0x562f0ce4ee50: AC: Waiting for SYN/ACK reply...
 [16:37:15]  INP: S 3, D 8, Dp 43, Sp 15, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [16:37:15]  RDP 0x562f0ce4ee50: Received in S 1: syn 1, ack 1, eack 0, rst 0, seq_nr  8669, ack_nr 44013, packet_len 5 (0)
 [16:37:15]  RDP: NP: Connection OPEN
 [16:37:15]  RDP: CMP: conn pointer 0x562f0ce4ee50, packet pointer (nil), flag 2, seq_nr 44014, ack_nr 8669
 [16:37:15]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 1, Fl 0x03, Sz 5 VIA: KISS
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (ack)
 [16:37:16]  TX Element Free, time 616312940, seq 44013, una 44014
 [16:37:16]  RDP 0x562f0ce4ee50: AC: Connection OPEN
 [16:37:16]  FTP: Start FTP Downlink
 [16:37:16]  FTP: Confirmed File URLs.
 [16:37:16]  FTP: Connection Created. Send File Request
 [16:37:16]  RX Delay : 1193732 microsecond.
 [16:37:16]  packet length : 62
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  packet length : 67

 [16:37:16]  RDP: Sending  in S 3: syn 0, ack 1, eack 0, rst 0, seq_nr 44014, ack_nr  8669, packet_len 67 (62)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 2, Fl 0x03, Sz 67 VIA: KISS
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:16]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  INP: S 3, D 8, Dp 43, Sp 15, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [16:37:17]  RDP 0x562f0ce4ee50: Received in S 3: syn 0, ack 1, eack 0, rst 0, seq_nr  8670, ack_nr 44013, packet_len 5 (0)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP: CMP: conn pointer 0x562f0ce4ee50, packet pointer (nil), flag 2, seq_nr 44015, ack_nr 8669
 [16:37:17]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 1, Fl 0x03, Sz 5 VIA: KISS
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:17]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:18]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  INP: S 3, D 8, Dp 43, Sp 15, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [16:37:19]  RDP 0x562f0ce4ee50: Received in S 3: syn 0, ack 1, eack 0, rst 0, seq_nr  8670, ack_nr 44013, packet_len 5 (0)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [07:12:38]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:19]  RDP: CMP: conn pointer 0x562f0ce4ee50, packet pointer (nil), flag 2, seq_nr 44015, ack_nr 8669
 [16:37:19]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 1, Fl 0x03, Sz 5 VIA: KISS
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
 [16:37:20]  RDP 0x562f0ce4ee50: Wake Tx task (check timeouts)
