 [02:42:40]  Set Debug : True.
 [02:43:04]  INP: S 3, D 8, Dp 31, Sp 61, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:43:14]  INP: S 3, D 8, Dp 31, Sp 48, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:43:24]  INP: S 3, D 8, Dp 31, Sp 35, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:43:34]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:43:44]  INP: S 3, D 8, Dp 31, Sp 41, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:43:50]  OUT: S 8, D 3, Dp 27, Sp 59, Pr 1, Fl 0x01, Sz 201 VIA: KISS
 [02:43:51]  RX Delay : 1183640 microsecond.
 [02:44:04]  INP: S 3, D 8, Dp 31, Sp 47, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:44:14]  INP: S 3, D 8, Dp 31, Sp 34, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:44:24]  INP: S 3, D 8, Dp 31, Sp 46, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:44:32]  OUT: S 8, D 3, Dp 27, Sp 62, Pr 1, Fl 0x01, Sz 201 VIA: KISS
 [02:44:33]  RX Delay : 1183640 microsecond.
 [02:44:33]  INP: S 3, D 8, Dp 62, Sp 27, Pr 1, Fl 0x01, Sz 10 VIA: KISS
 [02:44:34]  INP: S 3, D 8, Dp 31, Sp 55, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:44:44]  INP: S 3, D 8, Dp 31, Sp 39, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [02:44:47]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [02:44:48]  INP: S 3, D 8, Dp 53, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [02:44:51]  FTP: Start FTP Downlink. (info)
 [02:44:51]  FTP: Start FTP Downlink
 [02:44:51]  FTP: Confirmed File URLs.
 [02:44:51]  FTP: Create Connection.
 [02:44:51]  RDP 0x555555f93cb0: Active connect, conn state 0
 [02:44:51]  RDP 0x555555f93cb0: AC: Sending SYN
 [02:44:51]  RDP: CMP: conn pointer 0x555555f93cb0, packet pointer 0x55558a0b8ef0, flag 1, seq_nr 18976, ack_nr 0
 [02:44:51]  OUT: S 8, D 3, Dp 16, Sp 61, Pr 1, Fl 0x03, Sz 29 VIA: KISS
 [02:44:52]  RDP 0x555555f93cb0: AC: Waiting for SYN/ACK reply...
 [02:44:52]  INP: S 3, D 8, Dp 61, Sp 16, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [02:44:52]  RDP 0x555555f93cb0: Received in S 1: syn 1, ack 1, eack 0, rst 0, seq_nr 55806, ack_nr 18976, packet_len 5 (0)
 [02:44:52]  RDP: NP: Connection OPEN
 [02:44:52]  RDP: CMP: conn pointer 0x555555f93cb0, packet pointer (nil), flag 2, seq_nr 18977, ack_nr 55806
 [02:44:52]  OUT: S 8, D 3, Dp 16, Sp 61, Pr 1, Fl 0x03, Sz 5 VIA: KISS
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (ack)
 [02:44:53]  TX Element Free, time 1396917329, seq 18976, una 18977
 [02:44:53]  RDP 0x555555f93cb0: AC: Connection OPEN
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:53]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  INP: S 3, D 8, Dp 61, Sp 16, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [02:44:54]  RDP 0x555555f93cb0: Received in S 3: syn 0, ack 1, eack 0, rst 0, seq_nr 55807, ack_nr 18976, packet_len 5 (0)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
 [02:44:54]  RDP 0x555555f93cb0: Wake Tx task (check timeouts)
